task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
slcp_distractors,10⁵,9,SMC-ABC+LRA,0.9721,0.20966083,712.70825,,2.0052594502766925,,87593dd6-7494-4951-8659-5308a6b9934e
gaussian_mixture,10⁴,6,REJ-ABC,0.73655,0.07396304599999999,1.3633776000000002,,0.016787044207255044,8.737809327505671,6b3342b4-10a4-4933-8ad5-781e97eff7be
two_moons,10⁴,8,REJ-ABC+LRA,0.7903,0.005729675300000001,0.107636556,,0.02365841865539551,inf,3b957003-9eea-497c-b51a-1fc8b9120ab7
slcp,10⁵,5,SMC-ABC+LRA,0.94645,0.028030872,20.410442,,0.12887174288431805,37.60504233897758,610fbda2-b37b-45ee-98d1-cea19abb1c14
slcp,10⁵,2,SMC-ABC+LRA,0.95345,0.018615961,20.878063,,0.16020323435465494,36.27202702123272,788868ec-78cc-4563-b5a2-226bec61aa01
two_moons,10⁴,5,SMC-ABC,0.79925,0.02237606,0.096043766,,0.040240705013275146,inf,0d71ce91-5f5e-4d14-b68d-53cd6710ec17
sir,10⁵,5,SMC-ABC+LRA,0.53995,0.0043758154,23.086792000000006,,4.827799479166667,13.60379798585176,70abc649-4cf5-4d27-a839-1d6c9ff70541
bernoulli_glm_raw,10³,10,REJ-ABC,0.9967,0.54896253,6.0827627,,0.024458932876586917,8.554481076321409,ea74bf32-0cea-49a6-b772-5e392085daeb
gaussian_mixture,10⁵,7,SMC-ABC,0.6567,0.0040072203,1.1232057,,0.14653390248616535,8.164537701495405,c2af1273-5049-48f6-858f-537b0e452592
slcp,10⁴,8,SMC-ABC+LRA,0.9847,0.037949204,24.308868,,0.039961644013722736,40.128823381526864,06b233ca-b212-47bb-aa90-8dccf1d59c10
gaussian_mixture,10⁴,10,REJ-ABC+SASS,0.7927,0.18649781,1.4469925,,0.027014283339182536,8.350144843100255,089eabbf-d37c-4223-b8e0-d80c82404835
bernoulli_glm_raw,10⁵,10,SMC-ABC+SASS,0.999,0.5784085,6.78233,,12.660456339518227,8.20959588052788,6b7938c6-bcb5-4e3a-9d14-0e03b95b23e9
gaussian_mixture,10³,9,REJ-ABC+SASS,0.9221,0.5275625,4.54988,,0.017835978666941324,12.226651442117255,9ceec26d-d3be-45a2-9872-3ca9a35fe7ac
