task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
two_moons,10³,10,REJ-ABC 1000 KDE,0.99595,0.56790966,1.2951305,,0.055419278144836416,,570cfdba-04f6-4344-ae0a-bbf200df9556
gaussian_linear_uniform,10³,9,REJ-ABC 1000 KDE,0.99235,0.51557785,3.0068316000000004,,0.048148433367411286,4.985268937924975,ca3cb976-817b-4b58-99bc-5922c0c521a5
gaussian_mixture,10⁴,6,REJ-ABC 100 KDE,0.73655,0.07396304599999999,1.3633776000000002,,0.016787044207255044,8.737809327505671,6b3342b4-10a4-4933-8ad5-781e97eff7be
bernoulli_glm,10⁵,1,REJ-ABC 10,0.99945,0.14569801,12.336302,,0.3238444964090983,11.384489752998837,f9a32cd9-7e35-44cf-b509-415c39fff5de
bernoulli_glm_raw,10⁴,7,REJ-ABC 100,0.99875,0.34028200000000003,4.8989797,,0.046129651864369715,9.340004458703882,5dbea3bb-0b5b-44eb-afc1-97e5635fef24
gaussian_linear_uniform,10⁴,3,REJ-ABC 1000 KDE,0.99045,0.4309888,2.743553,,0.04966511726379395,5.224750747836095,92dcb492-faca-4b02-9ee5-e7cfd9bf8ec9
bernoulli_glm_raw,10³,10,REJ-ABC 100 KDE,0.9967,0.54896253,6.0827627,,0.024458932876586917,8.554481076321409,ea74bf32-0cea-49a6-b772-5e392085daeb
bernoulli_glm,10⁴,2,REJ-ABC 100,0.99735,0.19196093,15.634523000000002,,0.04278103907903035,9.47001062623932,c38924a5-179d-48d5-a1bc-7d63f9d847c7
bernoulli_glm,10⁴,1,REJ-ABC 1000 KDE,0.98965,0.457948,26.714941,,0.1197220007578532,9.296454763461238,b8965e0f-e75a-4e45-883e-35606ee68f1e
sir,10⁵,9,REJ-ABC 1000 KDE,0.86885,0.3423453,42.3143,,4.748940022786458,16.071754076544703,a6be5aa3-63e0-4a37-a599-d9c6ac57507b
slcp,10⁵,6,REJ-ABC 100,0.9964,0.014818072,10.040228,,0.017804809411366782,40.48321392883462,8a5f8304-3fc2-4ef9-9d0f-26030bd71cc4
gaussian_linear_uniform,10⁵,4,REJ-ABC 1000,0.9796,0.10472435,1.8133725,,0.014138865470886232,6.8685878108113165,66aaa143-3f1f-44d7-8ac1-f2cd764bcf5b
lotka_volterra,10⁴,5,REJ-ABC 100,1.0,0.55373514,31.909966,,1.2957051595052085,24.69901472090755,ced03c88-2641-4e83-8475-f0a6cdc4f28d
slcp,10⁵,1,REJ-ABC 1000 KDE,0.9769,0.10331893,18.699924,,0.0626606822013855,36.084667017441845,cd2be5ee-3aee-4c68-99f4-9d9904fc25e2
bernoulli_glm_raw,10³,8,REJ-ABC 10,0.99985,0.35392702,4.358899,,0.01769264539082845,11.154184960658279,8c7aebe2-76e7-4a5a-91a7-44b638e1f0fd
bernoulli_glm_raw,10⁵,3,REJ-ABC 1000 KDE,0.97955,0.3144125,4.690416,,0.4124218304951986,9.463915975206392,82dd9d61-f3ba-456a-b9fa-60668fc0c89b
lotka_volterra,10⁴,3,REJ-ABC 100 KDE,0.99885,0.52837664,27.309189,,1.2783387502034504,21.256846314132737,a618ed62-d924-4543-ba16-6afedf0142b2
bernoulli_glm_raw,10⁴,1,REJ-ABC 100 KDE,0.9786,0.27251223,4.472136,,0.06083199183146159,10.134906369197946,d09bc038-78d9-4243-8eb9-aeae0eedb7be
bernoulli_glm,10⁵,6,REJ-ABC 100 KDE,0.95165,0.31753117,17.691513,,0.3269685427347819,10.022580130367745,0c70ef2a-2ec1-40ba-8c0a-721dbf22e1f7
gaussian_linear_uniform,10³,10,REJ-ABC 100,0.99855,0.27316654,2.1832,,0.014132332801818847,8.911238271862445,137bfb23-0af5-44d1-b37b-2a1ce131ac50
gaussian_linear,10⁴,6,REJ-ABC 1000 KDE,0.7913,0.07240450400000001,1.6265553999999998,,0.0496832807858785,12.158351594655402,27ff8566-9016-45ac-b2a1-0a7bc897aca1
two_moons,10⁵,6,REJ-ABC 1000,0.82145,0.0011798142999999998,0.0992699,,0.015084012349446615,inf,cf964092-fbc4-48a7-90bf-1059cd7f00b7
two_moons,10⁵,9,REJ-ABC 1000,0.8279,0.0014692545,0.10038696,,0.013419183095296223,inf,52cb025d-85ea-41f3-97c2-53d1535eb675
slcp_distractors,10⁴,1,REJ-ABC 100 KDE,0.99005,0.15280855,895.5010000000002,,0.211797825495402,,63d696e7-7932-41ce-907c-8f43811b5331
gaussian_linear,10³,6,REJ-ABC 100,0.99585,0.0654763,1.5605197,,0.014887857437133787,12.420307834952965,5f48bee1-c20d-42b7-bba2-52755f1936b4
sir,10⁵,1,REJ-ABC 100,0.8386,0.16301912,17.320509,,4.743734741210939,14.434287147273734,094ec226-e7bd-4f86-9a62-dfe939ca2e7d
bernoulli_glm_raw,10³,6,REJ-ABC 1000,0.99975,0.5443914000000001,7.071068,,0.017703847090403242,6.617798354348391,6634c62c-ad28-4e97-b6a6-cd5fa662bef2
gaussian_mixture,10⁴,1,REJ-ABC 100 KDE,0.7833,0.23149997,1.4109968000000002,,0.019989299774169918,8.318566139624428,ba28cbae-2a17-4f83-b90c-2155644f2f20
slcp_distractors,10⁵,8,REJ-ABC 1000 KDE,0.9932,0.21954823,426.73743,,1.896586227416992,,16286d22-215c-4af4-8f9d-ee8a31115d7b
bernoulli_glm_raw,10⁴,7,REJ-ABC 10,0.9999,0.39444253,4.7958317,,0.04993389050165812,10.946881362120552,ba8f804e-fd45-4a28-9138-3bb2852ec9a2
two_moons,10⁵,8,REJ-ABC 100,0.7066,0.0024027824,0.09096792,,0.01351530154546102,inf,5031d841-e8bd-4879-ab7c-89760653b2b9
gaussian_mixture,10⁵,8,REJ-ABC 1000,0.74485,0.04847473,1.2337823,,0.014307717482248941,9.676635445522221,b67368a7-cf5d-44a2-a211-723c66d847f3
sir,10⁵,4,REJ-ABC 100,0.8423,0.13693994,28.407745,,4.643012491861978,16.884894142275186,8d123107-3613-42b6-add1-8cb76e56877a
bernoulli_glm_raw,10⁵,5,REJ-ABC 100 KDE,0.9933,0.49559996,5.656854,,0.3417125701904297,9.20434372799246,f24a38be-08ae-4d62-bd50-774d7d6ceb54
bernoulli_glm,10⁴,4,REJ-ABC 1000 KDE,0.98555,0.37722185,23.155537,,0.137386687596639,9.354702846092996,b3d64405-492d-4c3b-a468-7fed6b7cba0c
sir,10⁴,7,REJ-ABC 100,0.9118,0.20611513,32.124756,,0.785224723815918,18.208202737961496,e67b8c32-8ca9-4518-94dc-c02e8b17dd71
bernoulli_glm_raw,10⁵,6,REJ-ABC 1000 KDE,0.98005,0.4419436,5.0990195,,0.4195608774820964,8.935183056271914,9ee2c911-64cb-4c8c-8ae2-8d94606ef16f
slcp_distractors,10⁴,7,REJ-ABC 1000 KDE,0.99155,0.12093496,1076.523,,0.2423401037851969,,1ac78386-1450-42a5-965b-5cc9fc5ce6b2
lotka_volterra,10⁴,5,REJ-ABC 100 KDE,0.99995,0.5621854000000001,31.113743,,1.2314019521077475,21.689735862940164,9283ce71-24c2-4e6e-8386-0d7a84341cd2
sir,10³,1,REJ-ABC 100,0.96435,0.52454215,53.34791600000001,,0.42441091537475584,17.102057068617018,83049381-0101-42a1-b905-d1dc6a2965ab
bernoulli_glm,10³,1,REJ-ABC 100 KDE,0.9918,0.46865055,28.320442,,0.028313008944193526,9.998949175417826,9f37dcb0-e6e8-4639-879e-1957a1327061
gaussian_linear,10³,5,REJ-ABC 1000 KDE,0.89015,0.16889602,1.8054743,,0.051659202575683585,12.983446445906894,66d8a00e-dd23-4f49-8ba1-9b85abe31f10
slcp,10⁴,5,REJ-ABC 1000,0.98765,0.07962346,18.420158,,0.012948552767435707,40.726962896911026,46c4b6a7-95bd-4601-ad05-8373dbfa03c9
slcp_distractors,10³,2,REJ-ABC 100 KDE,0.99135,0.25748134,382.34186,,0.036246450742085774,,ac8de650-3243-4973-9e3e-a9f342601ca3
lotka_volterra,10⁵,6,REJ-ABC 100 KDE,0.9996,0.5568376,53.565964,,9.09236348470052,23.539317882324728,cd5e89cc-6080-4583-88be-1bd2308a25dd
bernoulli_glm_raw,10³,8,REJ-ABC 1000,0.99975,0.58592814,7.071068,,0.015929849942525227,6.582514562042062,b62413a4-ba52-413e-bebf-ed96efb569df
gaussian_mixture,10⁴,6,REJ-ABC 1000,0.83495,0.38332924,2.7538075,,0.012002142270406087,10.633626401273462,67fff02d-0c03-4827-aa2c-2fb97216e9a4
gaussian_mixture,10⁵,9,REJ-ABC 100 KDE,0.7955,0.0012718439,1.0879807,,0.023518836498260497,9.199479606803434,327ac2b7-8cde-42ad-a70a-a6e6fd0b7f05
bernoulli_glm_raw,10⁵,2,REJ-ABC 1000 KDE,0.97445,0.3782207,4.690416,,0.3717187881469727,9.18326522590564,b69ba9fa-776a-4ba8-8d40-b7af6429bb22
gaussian_linear_uniform,10⁴,6,REJ-ABC 1000 KDE,0.9603,0.27362344,2.2056673,,0.04853225946426391,5.210886647101193,46421e0b-d294-4ea2-a4b4-56fad9d53de0
two_moons,10⁴,1,REJ-ABC 10,0.80575,0.07895160000000001,0.08550806,,0.012716885407765706,inf,fb49c3c9-3691-4351-9f3c-e0e15d7e6a68
lotka_volterra,10⁵,7,REJ-ABC 100 KDE,0.9998,0.6569239,30.577305,,9.16497090657552,19.830318026751687,5f7e05ad-00a6-4ab8-a176-9ae5bc211a1d
gaussian_linear,10³,6,REJ-ABC 1000,0.98095,0.17056549,1.7870578,,0.01269391377766927,13.258173870904269,1f9ef2f0-0601-4852-8558-ed429476eef8
slcp,10⁴,8,REJ-ABC 1000,0.99645,0.11405349,21.190315,,0.013594349225362144,39.89291013627813,03c36eee-76a0-4a24-bcf8-858892a194e8
bernoulli_glm_raw,10³,9,REJ-ABC 100 KDE,0.9936,0.4161293,5.0,,0.024520774682362877,10.051342311726119,f4b11250-7082-4137-a331-9437bf22a259
gaussian_linear,10³,2,REJ-ABC 10,0.9997,0.14524066,1.6835117,,0.014310113588968913,13.4127934705861,c8109106-856d-4254-a370-646e9fbaa320
sir,10⁴,8,REJ-ABC 100,0.88005,0.25683725,34.036743,,0.8777554829915365,17.57674439401953,611f10e3-3889-435b-a6dc-153d91dbcec2
lotka_volterra,10⁴,7,REJ-ABC 100 KDE,1.0,0.6079823000000001,42.302887,,1.2807537078857425,19.444411894984672,d5e61db4-9968-4931-9c5a-6656f9cdf819
sir,10³,5,REJ-ABC 10,0.9909,0.30630898,30.838287,,0.4489647229512533,19.09061896825936,e8728423-aaea-4629-b87d-ff2fb8098ff7
slcp,10³,7,REJ-ABC 100 KDE,0.9898,0.07653344,27.47265,,0.02048043807347616,40.120928191217885,5a21fcd0-0cc5-4002-933c-5c1735ecbeb4
gaussian_linear_uniform,10³,9,REJ-ABC 10,0.99985,0.29862773,2.0226276000000003,,0.013198006153106687,11.138392802601883,6b4019c2-85c6-4c1a-a5b0-7429336c9f33
gaussian_mixture,10⁵,2,REJ-ABC 1000 KDE,0.74915,0.060193777,1.1003767,,0.05367846886316936,8.465866085930783,481ae984-2969-4c9c-92ee-e4d1b83f517c
gaussian_mixture,10⁵,3,REJ-ABC 1000 KDE,0.73445,0.043787897,1.4271024,,0.05743088722229004,10.374820360532278,3f7028bb-59f5-44e4-b134-989821793dd7
lotka_volterra,10⁴,1,REJ-ABC 100,1.0,0.5667305,26.176125,,1.3632428487141928,23.3158079128202,37a76da2-543b-4e88-a523-66249315f569
slcp,10⁴,7,REJ-ABC 100,0.9984,0.07275915,29.179338,,0.013743205865224204,40.284878621887735,72b1f52c-b0a0-4416-b8de-510a05f79f95
slcp_distractors,10⁵,8,REJ-ABC 100 KDE,0.9928,0.24886220000000006,424.5282,,1.8224366505940757,,92b18c19-76de-4ecf-a6a2-020f931f74bd
bernoulli_glm_raw,10⁵,8,REJ-ABC 10,0.99965,0.12469506,4.0,,0.33645289738972983,10.952498097793448,7f6e81cc-ff03-479b-ab82-706f382fe55e
slcp,10⁴,1,REJ-ABC 100,0.9981,0.10091174,18.74786,,0.014922205607096357,40.1907313974441,6f2250f6-1edd-437b-ade6-b259dde96348
two_moons,10⁵,2,REJ-ABC 1000,0.79985,5.4955482e-05,0.10059509,,0.01407477060953776,,3d88a51c-f535-4d83-968f-4b9ea3a87d78
lotka_volterra,10⁴,3,REJ-ABC 1000 KDE,0.99945,0.5498692,56.097496,,1.3497968037923178,22.105075029719725,9e973336-d49b-45da-8d40-6fe79bd8a95e
lotka_volterra,10⁴,7,REJ-ABC 1000 KDE,0.99995,0.5647959,65.49181999999999,,1.305740229288737,19.01693297462297,c413dead-cc6b-4b8d-beb7-a350ee80277b
lotka_volterra,10³,1,REJ-ABC 1000,1.0,0.5558294,147.23662,,0.4611601829528809,24.043747834739122,8f36a7f0-dbbd-482d-9022-8a0c90dc3090
bernoulli_glm_raw,10³,4,REJ-ABC 1000 KDE,0.99705,0.5741031999999999,7.071068,,0.0513324777285258,9.324808853896736,c953cf3e-178d-4607-b4d9-6b690814898d
slcp_distractors,10³,2,REJ-ABC 10,0.99975,0.2993768,380.4497,,0.03199682633082072,,3cbc9a4b-b1c9-4eb8-9594-a32eec9e15d4
gaussian_linear_uniform,10³,5,REJ-ABC 10,0.9999,0.14337122,1.7048792000000002,,0.013211143016815186,10.810461901369731,9408b67d-b1ae-4b1c-b2f2-8a716d626810
slcp,10⁵,7,REJ-ABC 1000,0.9962,0.0646795,28.747467,,0.017649277051289877,38.11082696114944,d420ad60-2f0b-4ff2-bdff-9d009e1e9740
gaussian_linear,10³,3,REJ-ABC 100,0.9962,0.13128114,1.7780805,,0.012446733315785724,13.136915420949832,65252378-b03f-40f9-adc3-37746b7a4bba
slcp_distractors,10³,3,REJ-ABC 100 KDE,0.98705,0.09788716,387.43924,,0.03956833680470785,,27277d73-b3cb-4abd-9bef-b0bbab115977
two_moons,10⁴,4,REJ-ABC 1000 KDE,0.95315,0.055119872,0.19857946,,0.05124018589655558,,f2170778-daac-4cda-96df-cb08adb06bca
lotka_volterra,10⁴,2,REJ-ABC 100,1.0,0.552351,30.125029,,1.3815598805745444,24.06230561195441,b58fa82a-aaee-4fb9-9876-932f5cf4ce5e
gaussian_linear,10³,8,REJ-ABC 1000,0.9942,0.36617655,2.3641286,,0.0130960742632548,14.201808612756322,e8ddd95f-8a85-4725-8865-23a85917564e
bernoulli_glm_raw,10⁵,7,REJ-ABC 1000,0.99415,0.37013128,4.8989797,,0.3328933080037435,8.203767127869352,a1fa31f4-35b9-4723-b1a1-3e582ce46916
gaussian_linear_uniform,10⁵,4,REJ-ABC 1000 KDE,0.917,0.14457405,1.9738595,,0.0521016796429952,5.323848846702802,81f54fd4-9191-43ab-a90c-5d63c317f45f
gaussian_linear_uniform,10³,10,REJ-ABC 10,0.9998,0.20353341,1.8817664,,0.012333063284556071,10.825263751686952,9b6f8d80-498f-43af-9b84-6298bbd11e10
bernoulli_glm,10³,1,REJ-ABC 1000,0.99955,0.59963167,50.15351500000001,,0.016507506370544434,6.620799076356434,93831b14-24fa-4701-b401-37801f59bd05
gaussian_linear,10³,9,REJ-ABC 100,0.99595,0.103003025,1.7357926,,0.015209317207336426,12.843255031955595,f9c3d4b8-2cc6-4012-a9d9-a7e9c0b8d391
bernoulli_glm,10³,9,REJ-ABC 10,0.9997,0.42632568,17.791138,,0.014675124486287437,11.422937845178842,f990b80a-b9c7-488a-acc6-a9ff71dba3a8
bernoulli_glm_raw,10³,1,REJ-ABC 1000,0.9996,0.5982523,7.071068,,0.015592789649963381,6.6265799119353295,f70b4b0e-700c-4928-a892-e35566a09ea3
bernoulli_glm_raw,10⁴,1,REJ-ABC 1000,0.99815,0.4528341,5.0,,0.044585434595743816,7.659547429021593,c654f6be-ced1-4812-a63f-7fcb61b262de
gaussian_linear,10⁴,2,REJ-ABC 100,0.99545,0.04403186,1.5936796999999998,,0.013464701175689698,12.039518113342615,b7b519be-aa33-47da-8d50-d9a197860324
slcp_distractors,10⁴,7,REJ-ABC 100 KDE,0.99355,0.13354492,1076.8687,,0.2166226069132487,,58ab04ba-4b48-4aae-8d94-4dd0f16ea52c
slcp_distractors,10³,1,REJ-ABC 100,0.99915,0.15574443,895.4509,,0.0338502566019694,,8637d0e2-aaf7-4e15-9aff-671372b9309b
sir,10⁴,8,REJ-ABC 1000 KDE,0.96275,0.4856603,87.85784,,0.8478795369466146,18.11985871920901,00f06465-b2db-4219-b699-31255cc8c9f7
slcp_distractors,10⁵,2,REJ-ABC 100 KDE,0.9909,0.27553886,379.4286,,1.9200181325276693,,2cd12b34-ae24-449b-8177-79ad8733a67d
lotka_volterra,10⁴,4,REJ-ABC 100 KDE,0.9997,0.5538099,,,1.309396235148112,,80a1023e-5336-461b-b82c-1df3ba8f0086
lotka_volterra,10⁵,9,REJ-ABC 100,0.99985,0.48485434,51.9958,,10.24208272298177,22.52969074105659,fd81c087-3b0f-4493-b4c8-fbe974aa82f1
slcp_distractors,10⁵,4,REJ-ABC 1000,0.9987,0.36789966,571.2068,,1.9200214385986327,,f777195e-be7b-4e8c-a662-737ddc28ea42
sir,10⁴,2,REJ-ABC 100,0.94255,0.35333335,31.591139,,0.869160270690918,15.929938500158439,7947172c-c991-4af8-b1c4-1863e5dfc43a
bernoulli_glm,10⁵,4,REJ-ABC 100,0.9957,0.12143475,13.1042,,0.4300872802734375,10.365248554472627,44375e97-8466-48d5-babe-6ff96ef22460
bernoulli_glm_raw,10³,1,REJ-ABC 100,0.9996,0.43064088,4.8989797,,0.016103569666544595,8.898072531225976,fbef6018-0e8f-4aa5-8426-9ead228db36a
