task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
bernoulli_glm,10³,3,100 .5 .8,0.9997,0.7068784,26.545437,,0.01928234895070394,11.579514756839291,632efa41-482b-41f0-9e94-3ec3cec2b6eb
sir,10⁵,3,1000 2 .8 KDE,0.63985,0.03814584,21.023796,,4.968547566731771,14.72879389214796,4e2ed995-40b3-4225-a13d-351c1f2c6a8f
lotka_volterra,10⁴,2,100 2 .5,1.0,0.54379034,17.873465,,2.6204449971516928,22.931379138590287,72c3f304-cd8f-4e22-9531-cb0847499a2b
bernoulli_glm_raw,10⁴,8,100 2 .8 KDE,0.94175,0.14954829,4.0,,0.07407514254252116,10.847095547152,52ceb1df-97ff-4a1d-ba71-97136a9d38dc
two_moons,10⁵,4,1000 2 .5 KDE,0.7399,0.00048977137,0.09635073,,0.1569941202799479,,1baea39f-6bb0-493f-bacd-0685ddbb9a87
slcp,10³,3,100 .5 .8 KDE,0.9865,0.08458543,21.304424,,0.01890947818756104,39.27482939413147,6d393f92-be33-454b-b6d7-bcc4c21e2c7b
bernoulli_glm_raw,10³,1,1000 .5 .8,0.9996,0.59401405,7.071068,,0.01672994295756022,6.759797849659183,d375904b-53d9-44ef-a268-9e8851cf8602
sir,10³,2,100 .5 .8,0.9873,0.54226846,50.269276,,0.4216212908426921,16.695748699322586,130ff0c0-1d54-4e0d-bc82-26b61c437f34
lotka_volterra,10⁵,6,1000 2 .5 KDE,0.9992,0.5472695,,,11.252542114257812,,f14520e9-4e93-47ce-a6a4-1225bd59711e
two_moons,10³,6,100 .5 .5,0.9557,0.0013333559,0.16712832,,0.013791871070861815,,d842adc8-b45f-4a6e-918a-cc0e7498d21c
bernoulli_glm,10⁵,4,1000 .5 .5,0.9559,0.08977336,11.615255,,0.41089744567871095,11.098091606857963,ca10b5fc-a9b7-4713-8d75-dfc1f7412514
lotka_volterra,10³,2,1000 2 .8,1.0,0.5548908,141.10495,,0.4745883623758952,23.951458049193807,18ddcbb6-b3b2-48a3-9136-5fcfe4df558b
gaussian_linear_uniform,10⁵,9,100 2 .2,0.9962,0.023475528,1.4227085,,0.6910011927286784,8.785858256391759,c49d8b58-ab33-43e5-b37d-07b45e7e71b3
bernoulli_glm_raw,10⁵,3,1000 2 .2 KDE,0.9834,0.32554594,4.7958317,,0.4212673823038737,10.294902010961618,9d22498e-46c5-46bf-b664-33270b20c4f0
gaussian_linear,10³,5,100 2 .2 KDE,0.8809,0.118724644,1.6267996,,0.01911272605260213,13.039496114427584,dd279136-badf-4bce-842e-bc7538e5e9cc
gaussian_linear,10⁵,6,100 .5 .8 KDE,0.99905,0.08095288,1.2239678,,0.10084559122721354,12.510389465193288,3cf9dd48-803b-4217-924d-164745a5a903
