task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
gaussian_linear_uniform,10⁵,9,1000 .5 .8,1.0,1.1075085,3.2905927000000004,,7.614999389648437,11.794033500717733,336a5861-f356-45f0-a843-1b49b63517d7
gaussian_linear,10⁵,9,1000 2 .8,0.9832,0.18198812,1.7897307,,4.857002258300781,13.540246001383304,18adc6df-f2a8-426b-9e04-9d53c1f385fb
gaussian_mixture,10⁵,4,100 .5 .2,0.83485,0.08101916,0.8214117,,4.182482147216797,10.190221600754908,d9788ee1-115c-441c-9045-401d256ff006
gaussian_mixture,10⁴,8,1000 2 .8,0.81235,0.36449203,2.4447322,,0.36902052561442056,10.423200417523221,947217ca-d8c6-4928-a09c-3a412a6a4c48
bernoulli_glm,10⁴,7,100 .5 .5,1.0,1.1007481,27.339579,,0.8284618377685546,12.384238328631515,a4255120-6fcc-4f6c-9b2d-825fb83f9ea5
two_moons,10⁴,3,1000 2 .5 KDE,0.91515,0.0008887052499999998,0.14465761,,0.4818166097005208,inf,2fb46c0f-8e35-4a74-8c24-2e2577857102
sir,10⁵,2,100 .5 .8 KDE,0.583,0.011651158,20.248457,,9.314424641927083,13.847154950839233,48630fd5-ce66-40f8-bc0e-c94619e022e0
bernoulli_glm,10³,2,100 .5 .2,0.9993,0.3408864,21.918022,,0.08642144997914633,8.905472126324947,34b9513e-a6be-432f-b3b8-5d7e45b71cdb
bernoulli_glm,10³,4,100 2 .2,0.99935,0.41689017,22.202282,,0.05542864004770915,8.986623156147944,cb7950c9-d08a-46b2-b74f-07b9d0fd55fa
slcp_distractors,10⁴,5,1000 .5 .2,0.9909,0.11286783,897.10675,,2.347151947021485,,38cb3c98-59a0-4353-9f40-9f40d946155a
gaussian_linear_uniform,10⁵,1,100 .5 .2 KDE,0.99985,0.9628138,2.2550757000000003,,15.245920817057293,12.94342855913167,58df37f9-cfe9-4ded-a291-fc743a33cb44
slcp_distractors,10⁵,9,1000 .5 .5 KDE,0.9792,0.27565217,711.706,,12.38853759765625,,34e5340a-b544-4c9d-baf7-c40e1b6ca9ef
bernoulli_glm,10⁴,5,100 .5 .5 KDE,1.0,1.376336,33.414543,,0.5618422826131185,15.51542051071244,4843e673-d2bb-48dd-82fb-284c3ddba47a
bernoulli_glm_raw,10⁴,2,1000 .5 .5,0.99625,0.3468953,5.0,,0.3981310844421387,7.342982469639878,4bff5021-9efb-41d8-8e35-174f7b1254a4
lotka_volterra,10⁵,3,1000 2 .2 KDE,0.99225,0.4961385,19.933407,,831.3930338541667,18.881235876405157,da1b5ce8-8dd6-43cf-b98d-8629277360a7
lotka_volterra,10⁴,1,1000 .5 .2,0.99985,0.55694586,41.61035,,52.47082112630208,22.00514878742134,adb5f29a-0b3f-4d75-91b4-302b3e677dcc
two_moons,10⁵,6,100 .5 .5 KDE,0.5879,0.00557971,0.09430064,,4.326256815592448,inf,fa001e1f-fb1c-4647-8fe3-4c6c8bc7f20e
bernoulli_glm,10³,8,1000 .5 .5,0.9999,0.58833325,49.300575,,0.12272114753723146,6.629779283133441,d5201dfd-e5a1-408d-88d3-c075b8aeae80
sir,10⁵,5,1000 .5 .8 KDE,0.6168,0.044813395,23.409399,,10.898177083333335,14.917441832699591,e07c6f14-170e-4217-b498-e1ab70189f36
gaussian_linear,10⁴,9,1000 2 .5,0.98125,0.18153417,1.8256171,,0.5650418599446615,13.496534427919178,bde84d3d-6668-488b-a36d-34f5bf268c23
slcp_distractors,10⁴,1,100 .5 .8 KDE,0.9925,0.18832612,895.90045,,1.2490612030029298,,75d88005-fe19-4314-b3ab-4a13b8910150
two_moons,10³,3,1000 .5 .8,0.9945,0.4411838,0.85058224,,0.06667731602986654,,bc7cc2ae-3833-46ad-8e36-98de7833274b
gaussian_linear_uniform,10³,2,1000 2 .8,0.99885,0.48349264,2.9758687000000004,,0.11835856437683105,7.209478264830816,fdbb1de0-6f83-4e9f-9d67-ee37c9e0086b
bernoulli_glm_raw,10⁵,10,1000 .5 .5,1.0,0.7585059000000001,6.0827627,,5.393572998046875,12.440488663192092,f7271f90-5f4d-48da-96dc-227638ceac59
bernoulli_glm,10³,1,1000 .5 .8,0.99935,0.58818334,49.945614,,0.1266782760620117,6.497222552156839,6b6c7bde-f633-4a07-93a7-6fdc085621a5
slcp_distractors,10⁵,1,1000 2 .2,0.9965,0.14547253,895.5038,,11.99562479654948,,baf32086-f85e-46e0-95cc-5f995a2382c4
gaussian_linear_uniform,10⁵,9,1000 2 .5 KDE,0.99995,0.83255965,3.2986913,,16.861643473307293,7.591231445676294,8fa0dfad-4bc8-4a5a-8e17-e2e431ff9a4a
gaussian_mixture,10⁵,6,1000 2 .2 KDE,0.67965,0.0038241148,0.41735113,,3.61529286702474,9.46053831054768,b801540a-bd7b-4682-9e69-ea793e138f6c
sir,10³,8,1000 .5 .8,0.99635,0.54876107,265.28192,,0.5901458740234375,18.86145398514771,b5a3c373-a74f-48ec-b9d3-88cd07c7f1b6
two_moons,10⁴,5,1000 2 .5 KDE,0.9569,0.0009377003,0.21334346,,0.4339722951253256,,68f294ff-2f6b-4f1d-b87c-9352252aa56a
bernoulli_glm_raw,10⁴,5,1000 2 .5 KDE,0.9995,0.58670926,6.633249799999999,,0.4655008951822917,9.506803527620994,e9c6441a-5c2c-46a5-9249-56334de02b00
two_moons,10⁵,8,100 .5 .8 KDE,0.6101,0.0007524490400000001,0.09452461,,2.7511586507161456,inf,28d37044-b968-41a4-b2ce-a4127d108b15
gaussian_mixture,10³,7,100 2 .2 KDE,0.7859,0.30158022,2.1796684,,0.05708659489949544,10.34317845197084,cf59dbcd-6dc1-439a-b440-615a72603375
slcp_distractors,10⁵,10,100 .5 .8,0.9984,0.55082,350.0927,,8.013883463541667,,8faf6555-59be-47d3-a197-ef85dcead77b
gaussian_linear,10⁵,5,1000 .5 .8,0.99715,0.24384451,1.5111511,,5.50780283610026,13.985182612751204,74a77ea9-2b2e-46fa-9f97-db5d6c2360da
bernoulli_glm_raw,10⁴,9,100 .5 .2,1.0,1.375284,5.656854,,0.838039779663086,13.5000562490781,d1461891-592e-41f0-b44f-3502e189635a
slcp,10³,6,100 .5 .8,0.99945,0.18052673,7.859539999999999,,0.08081411520640057,41.759710206494645,207b4b06-9dfb-44ab-9464-ba535463ed6b
lotka_volterra,10⁴,7,100 .5 .2,0.9998,0.93936336,14.673926000000002,,86.13814290364581,21.359298073309823,0bb76493-ac7c-41b5-8f1c-a1e7ec277a2a
bernoulli_glm_raw,10⁴,2,100 .5 .2 KDE,1.0,1.1707282,5.2915025,,0.5656847635904948,13.398233047323036,934bd31b-3c8e-4e52-a772-3cfc84b031b6
sir,10³,4,100 .5 .2 KDE,0.97845,0.58182704,88.60022,,0.53004576365153,17.495646650045042,b7196a6a-f091-4078-b857-47605af0e923
gaussian_linear,10⁵,6,100 .5 .5 KDE,0.99995,0.5987505,1.7776431,,8.431407674153645,15.08339203511497,bab22980-2e22-4c64-a291-fa52a9f848c2
gaussian_mixture,10³,2,1000 .5 .5,0.9743,0.56462157,11.521965,,0.06448301871617636,12.652375652032125,3c468e53-603c-4524-9409-84488734eed6
two_moons,10⁴,1,100 2 .2 KDE,0.6749,0.0008920431,0.100453064,,0.41437562306722,inf,698a1d2c-2c07-4382-aa3e-07f8f449ddb7
sir,10³,2,100 .5 .8,0.99515,0.5204327,49.096844,,0.558831532796224,17.100281758027098,c12a49d0-3931-4047-9648-540209bc305d
sir,10³,7,100 .5 .8,0.9979,0.5261631,91.389275,,0.5402112325032552,20.577520268332496,89b11077-3790-47b0-8430-6c9f86c0feb5
slcp,10⁵,4,1000 2 .2,0.9886,0.10966563,2.7179568,,12.094225056966145,34.40871789053693,c42b8a7f-ea16-4be2-bcbb-e17895770d0a
sir,10⁵,5,100 .5 .2,0.77805,0.0077830553,22.203604,,31.83394775390625,16.347220955858575,adfa2321-0ba9-4387-ba46-17de3f595aa3
bernoulli_glm,10⁵,7,100 2 .2 KDE,0.99985,0.7845565999999999,31.372108,,4.407074483235677,13.345881354612414,bd8ff964-c70c-40b0-ba2a-4bffa2afcaa5
slcp,10³,7,1000 .5 .2 KDE,0.99075,0.12288737,28.868006,,0.15346136093139648,40.46031272251582,3718ee0c-2ade-480f-b414-d00d232ae1d8
slcp_distractors,10⁴,5,100 2 .5 KDE,0.98605,0.09828925,896.3924599999998,,1.9446595509847004,,8c29edf0-7f14-42d7-86a7-3273ab510e90
gaussian_mixture,10³,8,1000 2 .5 KDE,0.97055,0.56284857,11.643843,,0.10159436861673993,14.005090541859,3bd47493-2c44-41c0-a685-265c3ba538b4
sir,10⁵,8,100 2 .5,0.7462,0.02162385,23.097616,,15.178553263346355,18.38418545904317,f335d49b-9ba2-4341-b7ed-7d4be3c6b801
bernoulli_glm,10⁴,6,1000 2 .5 KDE,0.9858,0.4061163,23.585686,,0.5552209854125977,8.731274153238289,29db8588-c5f3-42f8-9aa6-2950bb2295ec
bernoulli_glm,10³,1,1000 2 .5,0.99955,0.5912178000000001,49.52662,,0.12805213928222656,6.547564590621755,7c900157-03f2-44c1-84e9-3f8eca12e9ae
slcp,10³,9,1000 2 .8 KDE,0.9778,0.25719714,13.897857,,0.15676957766215008,37.434940953205036,c6298429-7c7b-4e1d-ba4b-9bf2e1da50b9
gaussian_linear_uniform,10³,2,100 2 .5 KDE,0.9987,0.5570556999999999,2.9750237,,0.22332790692647295,6.6087586375273535,224832f2-b4be-441a-81f9-68c7da1a99c8
gaussian_linear,10⁵,1,100 2 .2,0.9992,0.34899604,1.9374557,,6.721685791015625,14.376381329506808,3f495f81-b790-4849-9bd7-7ddfbf32d12e
gaussian_linear,10³,2,100 .5 .5,0.99875,0.42146438,2.0381713,,0.10381744702657064,14.607522955325956,c99014d6-7617-46a2-aa4c-ccc674c345a2
gaussian_mixture,10³,5,1000 2 .2 KDE,0.9864,0.5730944,14.212187,,0.1063852310180664,14.125040591061769,636f9162-c537-43e5-92e8-bf86aa47263e
gaussian_mixture,10⁵,8,100 .5 .8 KDE,0.765,0.07931709,0.9725406,,2.776251729329427,12.317222127740841,7da27faf-3d60-4e3d-8a4a-a19135d68813
gaussian_linear_uniform,10³,4,100 2 .5,0.99945,0.4582435,2.5113215,,0.2239707946777344,9.813727820458023,6fd2b561-72b2-4152-b9f6-2a7e500fcf02
two_moons,10³,1,1000 .5 .2 KDE,0.99095,0.02314353,0.7456391,,0.10771573384602864,,f1181659-050b-4f6e-b38b-5300d1ebea56
slcp_distractors,10⁵,10,1000 2 .2 KDE,0.9822,0.48992342,351.7469,,15.631169637044273,,f3a412a1-4e20-45d4-92f2-916d1e379469
sir,10⁵,7,1000 2 .2 KDE,0.56005,0.00227499,21.0,,19.33289998372396,14.859249537597682,77726516-d3ed-46b1-a2d2-8d54b7f0bcb8
slcp_distractors,10³,10,1000 .5 .5,0.9933,0.47988796,347.78165,,0.15216878255208333,,7a172328-6689-4b9e-a94f-232d41347f93
two_moons,10³,10,100 .5 .5 KDE,0.92665,0.023557782000000003,0.13788053,,0.07244489987691244,,42ddd0b8-9cfe-403c-a360-5a33128b76a3
slcp,10⁵,4,1000 2 .8,0.99345,0.09897542,2.367724,,5.53837890625,31.6926289133645,2d5fc714-7333-43c9-8a21-a89343ba162e
gaussian_mixture,10³,9,100 2 .5 KDE,0.77405,0.25221658,1.951337,,0.05369730393091838,8.786689195236514,55857a9e-9272-44b6-a46c-a1a32229cf46
two_moons,10⁵,9,100 2 .8 KDE,0.6583,0.001897037,0.091202326,,3.118804931640625,inf,b8c0dd15-f9ba-4044-bb4c-65837d9fae86
sir,10³,2,1000 2 .2 KDE,0.99635,0.5567761999999999,393.61148,,0.6188741683959961,,434ba130-9809-4b44-ad60-e4e66763ca46
two_moons,10⁵,2,100 .5 .2 KDE,0.5547,0.0032778978000000004,0.08894324,,4.417151896158853,inf,5bd2e33e-bdfc-488d-963f-db13949d8b92
lotka_volterra,10⁴,6,100 .5 .5 KDE,0.99805,0.51660955,,,63.16057942708333,,263171f3-d0c6-4f38-9b87-d2b25fcf1553
gaussian_mixture,10³,1,1000 2 .8,0.9782,0.53526753,11.749924,,0.06219002803166707,13.9651114173238,63d8f526-6462-4e2c-a291-ea36f8c927e9
bernoulli_glm_raw,10³,1,1000 2 .8,0.99935,0.59363073,7.071068,,0.1220967451731364,6.409479163036183,a691e744-5953-408d-8050-3e9c3f4d5836
slcp,10³,10,100 .5 .8,0.9994,0.2508245,5.018143,,0.07793045043945312,36.090474277340114,5c66eb5b-4711-4f34-a6e3-2481a643a22f
sir,10⁴,7,1000 .5 .8,0.9697,0.44940186,89.77750400000002,,1.545431391398112,19.033250532253774,37b40ac4-e04a-4ded-8e1b-a2d2d44f8379
bernoulli_glm,10³,6,100 .5 .5 KDE,0.992,0.43882185,24.651108,,0.06679654916127523,9.249426076016144,d819d4a6-6a63-4600-85be-11c41b4bbcda
two_moons,10³,4,100 2 .5,0.9244,0.022485733,0.15408665,,0.058559087912241625,,7443d65d-be2d-4964-a392-bce5c503d34b
gaussian_linear_uniform,10⁵,3,1000 .5 .2 KDE,0.99995,0.91217285,3.2960029000000004,,13.133648681640626,9.706280595843262,29edcd63-a4eb-4180-b369-d73ef0fda008
gaussian_mixture,10⁴,2,1000 .5 .8 KDE,0.84635,0.42509532,2.744926,,0.3896775245666504,10.677743065097962,f83bb06a-c40f-4c37-a10f-eee86a49a4de
bernoulli_glm,10³,3,1000 .5 .5 KDE,0.9992,0.58297867,51.681168,,0.1630053679148356,8.895918626468044,48de7844-dd64-4357-bbde-c320c07e4e8d
gaussian_linear_uniform,10⁵,4,1000 .5 .5 KDE,0.99575,0.6811904000000001,2.228945,,10.460685221354167,9.217090339601027,a2a872bd-9a6f-4551-a14d-d4682f5e0806
sir,10⁵,3,100 2 .5,0.8212,0.015438676,18.708286,,10.248916625976562,16.429354909265257,8788efea-08a1-4f19-94bd-ea7a92c4c935
lotka_volterra,10³,7,100 2 .2,1.0,0.5761046,62.155563,,7.889650980631512,22.940993776398965,88cb0706-23ac-4e33-a258-96cfb77dc21e
gaussian_linear_uniform,10³,9,1000 .5 .5 KDE,0.9934,0.51509565,2.9894614,,0.1538758913675944,5.023730443795805,3f2d3849-b596-45dd-b605-7fd413f653c8
two_moons,10⁴,7,100 2 .8 KDE,0.7375,0.0012800694,0.09443323,,0.3806052843729655,inf,e1ab7158-72ad-40dd-bfeb-e6e8755e08e9
slcp,10⁴,7,1000 2 .5 KDE,0.9897,0.068320036,26.75106,,0.6248199462890625,40.259823048970496,39826ac4-05e4-40d9-9c70-c634acf99303
bernoulli_glm,10⁵,4,100 2 .8,1.0,1.2318803,24.500069,,4.789530436197917,15.42869912788066,732aba87-9faa-4973-8e33-60ea545fa47f
gaussian_linear,10⁴,7,1000 .5 .2 KDE,0.9425,0.27255726,1.9531279,,0.6847299575805664,13.858580487983243,a692cfc9-42c8-41cd-8819-50c6c0699272
gaussian_linear_uniform,10⁵,5,100 2 .8,1.0,1.1386752,2.9185774,,12.862975056966144,12.808982815971431,62a0b4ea-dd91-443c-a14d-5e7854b94b68
gaussian_linear_uniform,10³,7,1000 2 .8 KDE,0.9874,0.43461367,2.7499652,,0.15381441116333008,4.868936543985977,3e151b75-bfa8-4211-b760-1a504772cfc2
gaussian_linear,10⁴,8,1000 2 .2,0.9943,0.3626966,2.2707655,,0.8426374435424805,14.283549132754539,728b1602-a781-4d86-a214-309153dd52ff
slcp_distractors,10³,9,1000 2 .2,0.99365,0.26823878,711.2382,,0.1519339720408122,,96946876-926a-457c-9ed4-b9f9b83e2942
slcp_distractors,10⁴,3,1000 .5 .2,0.99105,0.11147499,387.13855,,2.296148427327474,,afc4db22-da3e-432f-8758-ac1e22c07f93
bernoulli_glm_raw,10⁵,6,1000 2 .2 KDE,0.9993,0.55505365,5.91608,,4.77124989827474,11.381946970925359,6b51a875-4a92-49ed-ae49-120062da7351
slcp_distractors,10⁵,10,1000 .5 .8 KDE,0.98265,0.4866558,350.779,,10.5572998046875,,36008e6f-b78f-4acd-87d5-84f3cf92219e
two_moons,10³,10,1000 .5 .2 KDE,0.99645,0.58275807,1.3301508,,0.11077656745910644,,52615a97-f67c-4809-b49f-04113ab955c0
bernoulli_glm,10⁵,2,100 2 .8 KDE,0.99995,0.78899765,31.01466,,4.362766520182292,13.630515751219502,f19d6acf-921a-4122-9cd4-fa46eff2c416
slcp,10³,7,100 2 .2,0.9992,0.09085059,27.12825,,0.203008778889974,47.020247641507616,0aeaca84-6f6a-428a-8704-7f08fb4c8856
slcp_distractors,10⁴,2,1000 .5 .2,0.99485,0.2674001,382.3504,,2.7693735758463536,,88171afe-4eda-479a-bb80-b9c5b3b43ff5
lotka_volterra,10⁵,7,100 .5 .8 KDE,0.9672,0.061792314,32.007034000000004,,557.6345052083333,19.709528249200545,eb1408d3-e6d2-48cd-8da3-edf2d6b453f6
