task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
lotka_volterra,10⁵,7,NLE-NSF,0.99835,0.6557957,61.6063,,128.51180826822917,23.344680444988818,ed41fe71-5394-4f3d-a074-98d95e83c3a2
sir,10⁴,9,SNLE-NSF,0.9161,0.3904062,88.57200999999998,,35.52676188151042,18.306120933121235,790076c2-bf97-47b0-bc4b-8e74417160d9
gaussian_linear,10⁵,10,SNLE-NSF,0.507,0.00043725967,1.4696147,,229.34503580729168,7.72404824546965,089dd15b-a723-438c-a6c8-9871ab3d36fb
bernoulli_glm_raw,10⁴,2,SNLE-MAF,0.9915,0.7002329,4.2426405,,47.10945231119792,12.96417030142541,be9320d9-53d5-44c1-9f25-6889222b5a61
gaussian_linear_uniform,10⁴,4,SNLE-NSF,0.62015,0.015443683,1.4508008999999995,,94.31858723958334,6.578197379145478,bdadb985-3055-49a8-aaa2-2675c86cd2fd
slcp_distractors,10⁴,7,SNLE-NSF,0.98625,0.115492105,1078.0178,,213.54002278645837,,dc3c00d0-2526-4ef9-9f88-ac635e800823
gaussian_mixture,10⁴,4,SNLE-NSF,0.57705,0.002588153,1.0140905,,23.49109293619792,9.130687996446476,e960158d-0b2c-4988-9ad9-a4c1ceb70ba3
sir,10³,9,SNLE-NSF,0.9038,0.36217603,77.81709000000002,,27.82894490559896,18.261438909496416,d13c1f25-6a97-4292-be17-a797697e153d
sir,10⁴,2,SNLE-MAF,0.6725,0.021482825,19.849434,,9.819686889648438,14.399818846991804,83fcec66-c5e7-45d3-9774-7b302e17105f
bernoulli_glm_raw,10³,1,SNLE-NSF,0.9904,0.56872815,4.2426405,,273.9331380208333,12.576490304293316,0da8a06d-c7bd-4f8d-b2ea-4e134ca292f6
slcp,10⁴,2,SNLE-NSF,0.9062,0.065015435,22.951542,,58.93367919921875,17.96454562086189,6696dd0c-f7c2-42d6-b809-3573b5b7c54c
slcp,10⁵,7,SNLE-NSF,0.82655,0.009165168,28.705116,,206.36007486979167,18.46527535718912,75867da3-d02a-44d2-9ac9-73beb2f04147
slcp,10⁵,5,NLE-NSF,0.8245,0.022692323,25.249718,,66.79265950520833,15.287963693127846,f8fe92cb-76dd-4120-a3c8-c4bcd2fe7db9
lotka_volterra,10⁵,7,NLE-MAF,0.9831,0.43475723,31.448744,,82.3794189453125,23.099391405384086,9e7dd5d8-92da-43cf-b04a-890d4357dd1f
slcp,10³,6,SNLE-MAF,0.90065,0.06798899,10.775804,,14.762990315755207,34.26101178148467,50876a44-7027-4c47-bee8-8da9e99712c1
two_moons,10⁵,8,NLE-MAF,0.6694,0.00033771992,0.08949898,,19.412843831380208,inf,5d426ae0-4470-49ba-9a1a-1cf892573820
slcp,10³,7,NLE-MAF,0.97755,0.1427871,30.007545,,6.316098022460937,33.16707361695403,3eac6c9b-142c-4469-b36b-736cb500bf51
gaussian_mixture,10³,6,NLE-MAF,0.88085,0.22388631,2.0017648,,3.2811609903971357,12.694411066750286,494bc53d-c23d-4fbb-8dfa-3c4f58135d09
bernoulli_glm_raw,10³,6,SNLE-MAF,0.9946,0.39451897,5.0,,38.082112630208336,12.857115029964929,2093529b-acf7-4649-b5d7-2f314f8d7d28
gaussian_mixture,10³,2,NLE-MAF,0.7615,0.13599926,1.4268403,,2.9437019348144533,8.948103110443476,f836089a-e2d9-446c-9319-87e27e3bd6a6
bernoulli_glm,10⁴,7,SNLE-NSF,0.5326,0.0030759573,13.37759,,89.310107421875,11.574778376835376,f61cd776-69fa-4001-a7d0-5e1ed3e1f377
bernoulli_glm_raw,10⁵,2,NLE-NSF,0.9455,0.2801481,5.0990195,,499.83512369791674,10.301732390448585,0d5438db-0551-433d-8084-47e1d1f8f765
slcp,10³,2,SNLE-NSF,0.98735,0.28355098,21.130732,,46.68994954427083,39.133703903316466,44b8d8a0-9146-4e84-8fc9-f31bd58d2fce
slcp,10⁵,3,NLE-NSF,0.7813,0.007947087,26.456299,,82.9439697265625,12.71358654157449,14bc4a04-1d70-4a4e-8b84-09bdb63e4f7c
lotka_volterra,10⁴,7,SNLE-MAF,0.7517,0.1512047,11.390255,,17.96135050455729,15.960394626108208,d28d9e04-1b6f-4e64-996c-eed2a8d848d7
bernoulli_glm,10⁴,3,SNLE-NSF,0.5708,0.016559599999999997,10.479722,,87.8426513671875,11.937799331968922,fcfdc8db-06b6-4cb0-8cb2-7aa67260c22d
bernoulli_glm_raw,10⁴,6,NLE-NSF,0.9859,0.7053547,5.0,,161.37945963541668,11.888559484436936,1be36248-5b1e-40a1-bd0b-de5eb67e032a
