task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
two_moons,10⁵,4,SNPE-MAF,0.80985,0.109732985,0.2068175,,,,ed23ab94-8d7d-41d8-8a3d-170289924d83
gaussian_linear,10⁴,9,NPE-MAF,0.5364,0.0038733482,1.4143368,3.5107421875,,9.75256768135481,f231dd67-512e-4245-b204-c71d0de6af2f
sir,10⁵,8,SNPE-MAF,0.51665,0.00017094612,21.679483,,,12.338544295575836,6c45c9c1-f012-4f7f-8cd2-0a96d5fb7d3a
sir,10⁵,4,NPE-MAF,0.5837,0.018747091,26.153393,-8.96176815032959,,14.193084567107086,84d3f7e3-9806-4da2-b698-f7b53c47fb1a
two_moons,10³,2,SNPE-MAF,0.85015,0.021697998,0.1745474,,,,e520542c-6200-403c-a284-26605e3b36a1
bernoulli_glm_raw,10⁴,9,NPE-MAF,0.7898,0.13648975,3.6055512,4.524737358093262,,11.83201339494215,22cdd777-1d78-4875-9cbb-502e12315211
lotka_volterra,10⁵,5,SNPE-NSF,0.99955,0.8857712,66.072525,,586.8576171875,24.435632201474128,f413e0f9-4c95-4f53-8c7e-dd27e2616842
two_moons,10³,6,SNPE-MAF,0.89515,-0.001281023,0.18502346,,,inf,15369b0c-eb55-4f50-8648-f96a292bacbc
slcp_distractors,10³,1,SNPE-MAF,0.98925,0.14439762,893.1611300000002,,,,555de561-8272-48db-a50e-6f754bc0d7b4
bernoulli_glm_raw,10³,4,SNPE-NSF,0.9985,1.2644154,5.2915025,,7.494812520345053,14.91842823181293,24999b80-59a7-46ce-9013-477ba8fdc758
sir,10³,2,NPE-NSF,0.97245,0.5656579,56.855076,-3.442915201187134,0.9007876714070638,14.933384641430518,e05b6915-a78b-4196-afc8-4d6b92428c3b
slcp,10⁴,6,NPE-MAF,0.90765,0.009165168,10.23635,4.555312633514403,,34.97620375769532,09ace3bb-4b92-4ea2-a444-2125d7c5959d
two_moons,10⁴,10,SNPE-NSF,0.5892,-0.0024303198,0.097649015,,16.22783915201823,,248469eb-2a05-435d-b3f3-e1b20c6f950f
gaussian_mixture,10⁵,9,NPE-MAF,0.7207,0.024416506,1.2445133999999998,1.1937540769577026,,9.04901531776091,64054022-9f3a-4652-aa86-ec11aaf64159
