task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
bernoulli_glm,10³,3,NRE-RES,0.88065,0.20553696,15.867109,,5.101165262858073,10.142339360639477,09ce89a2-3a5b-49d8-8942-f2a5f925674d
bernoulli_glm,10⁵,6,SNRE-RES,0.51855,0.0007724762,13.434448,,131.694384765625,11.91160319082531,6d4b9630-51ae-497d-b74f-581b108910b6
gaussian_mixture,10³,5,NRE-MLP,0.81195,0.3159007,1.8050461,,1.5587660471598308,9.543625176987339,a54b599e-da17-4f21-bcd1-daf651b3ccaa
bernoulli_glm,10⁴,5,NRE-MLP,0.9087,0.22403812,21.435026,,6.3109130859375,10.104946687098467,03bfaf22-a849-434e-8a55-869698f70a1d
bernoulli_glm,10⁵,1,NRE-MLP,0.7942,0.14737636,12.136444,,176.97596028645833,10.182457408604598,1561f02b-f6f7-47d5-a7d5-8efe7e8cf7cb
slcp,10³,4,SNRE-RES,0.9783,0.05595231,3.7861438,,6.700074259440104,32.46055514836779,c0374120-e5a1-4d5f-968b-8bce1e92b7b6
lotka_volterra,10⁵,2,NRE-RES,0.9969,0.5283587,25.036037,,,19.94939778714668,d2377c6e-5880-4ad0-a41c-e0b92420e9ba
lotka_volterra,10⁴,3,SNRE-MLP,0.7787,0.052006006,15.681114,,,18.28618282725104,fc847205-c587-4f7e-881e-759b181969af
slcp_distractors,10⁴,4,SNRE-RES,0.9879,0.25343287,570.88605,,9.446590169270833,,5178dd2d-43b2-48ed-b2e6-541ebd8696e5
two_moons,10⁴,3,SNRE-RES,0.5967,0.021105051,0.084784254,,5.537568155924479,inf,b9ca45df-5ec9-4346-ad30-91aa2b19af25
lotka_volterra,10⁴,2,NRE-RES,0.9993,0.54966104,82.30188000000003,,,22.194123748237537,299acd10-8c0a-42b4-93dc-8074b3933ab1
lotka_volterra,10⁵,5,SNRE-RES,0.87635,0.17425895,14.400671,,153.66414388020834,18.54596190935321,ffc04597-ba86-4597-9929-5796d6b26f62
two_moons,10⁵,6,SNRE-RES,0.60005,0.03139496,0.087521486,,103.78225911458334,inf,f05d3418-effe-4801-bf6d-5784daf33712
bernoulli_glm,10⁵,8,SNRE-MLP,0.5427,0.003109336,10.128575,,169.73678385416667,11.405582429863195,224ebd6c-7643-4db9-a51b-fe24148d623f
two_moons,10³,9,SNRE-RES,0.6092,0.0556131,0.08701882,,2.852685038248698,inf,516905c6-089f-44dc-b694-87d6f41326b0
sir,10⁵,6,SNRE-RES,0.5454,0.0016453266,22.97825,,99.61448567708334,14.595973090142214,177a3c24-ea55-4991-beef-fef01d222a54
bernoulli_glm,10⁴,7,SNRE-MLP,0.5951,0.012629628,13.0775385,,14.9435546875,11.986526054889618,fd455321-e34e-4b59-82a7-3d8e07b1cf5f
slcp,10⁵,5,SNRE-RES,0.65185,0.0040972233,24.232506,,142.367626953125,20.725729499635698,eb713455-bb74-42f0-9eb9-d3764b0ebc4b
two_moons,10³,7,SNRE-MLP,0.75765,-0.0004009008400000001,0.10023889,,2.72593994140625,inf,92579071-e02c-4807-aa7e-8bc23ca79c18
slcp_distractors,10⁴,10,SNRE-RES,0.96425,0.29349703,350.91675,,9.377228800455727,,b4e2f6eb-e54a-4cc4-a496-7f4a5d3d8670
sir,10³,10,NRE-MLP,0.8195,0.29271978,37.82856,,1.800738525390625,15.548319596884859,3ff5f135-01cc-48f6-b67e-979d7d1536cb
two_moons,10³,1,NRE-RES,0.79365,0.13461769,0.084689334,,1.2204991658528646,inf,1f5ced99-682b-474b-83db-510c0d02791c
gaussian_mixture,10³,10,SNRE-MLP,0.72085,0.04375094,1.1073306,,3.2042368570963538,8.825446566246029,32fccdc0-487c-4dd2-81a4-53f34dc61b21
slcp,10³,6,NRE-MLP,0.9628,0.16153711,11.379156,,2.7987129211425783,35.41840754074383,c43a97e6-1fa8-4ba2-9ec2-971f86e7f7cf
slcp_distractors,10⁴,2,SNRE-RES,0.97665,0.19253647,380.39868,,9.365565999348958,,2c9aab1f-4d12-42f8-9d98-32aa172f98e7
gaussian_mixture,10³,3,NRE-RES,0.74485,0.14776677,1.6253326,,1.2416028340657552,8.38289579119708,c39f3ec8-29d5-41de-b8f6-a66bc6066f35
sir,10⁵,8,SNRE-RES,0.55025,0.0009351969,21.575445,,86.55814615885419,14.558194528661009,6e6c8a11-39f5-4ab6-a015-8f00890f21be
slcp,10³,10,NRE-RES,0.9352,0.07112801,3.664672,,2.7914586385091145,32.41510898877948,9b9a14b9-8c13-4172-b763-a84e0ae9d84b
slcp,10⁵,4,NRE-MLP,0.9676,0.06269246,3.562374,,232.25751953125,32.72061428332441,77b1acea-f7e9-4b3f-847c-269b64657129
slcp,10⁵,7,SNRE-RES,0.79905,0.005395174,29.125252000000003,,175.45999348958333,22.67385763851601,7c7c0d73-0c35-4369-a8b4-93b6366ba2d6
sir,10³,4,NRE-MLP,0.95095,0.48850936,113.19894,,1.739614995320638,17.553690426999964,49d08d37-d7ae-4619-88aa-038f11bdd010
lotka_volterra,10³,8,SNRE-MLP,0.9183,0.08673519,21.931744,,,19.841155976068002,e91adfd6-347e-4f34-9c16-513732afb7c4
slcp_distractors,10⁵,10,NRE-MLP,0.9136,0.09965658,349.75256,,214.12317708333333,,c55a8390-0077-481f-a78c-b41113310cb7
slcp_distractors,10⁵,3,SNRE-RES,0.69135,0.009582162,389.09973,,181.24786783854168,,648cbd8a-7496-441f-8a4c-8b64606bc899
lotka_volterra,10³,10,NRE-RES,0.9996,0.5394466,148.05319,,2.786614990234375,21.715547139202247,9f73d413-a783-471e-b075-0128065b2c84
sir,10³,9,SNRE-MLP,0.9973,0.5584844,333.0368,,3.672674560546875,17.74072268330532,019c3fb5-cf0d-49c5-84dd-dfff7797de7c
bernoulli_glm_raw,10⁴,2,NRE-MLP,0.7909,0.09925699,4.582576,,6.7857920328776045,10.345326054798637,350e4bd9-71e8-45ac-9505-7a1a2db6f698
slcp,10³,1,SNRE-MLP,0.9822,0.174425,17.612782,,7.184770711263021,38.346401643302386,ba8f3f1e-7ff2-4e7b-a426-6f779b4c20ca
gaussian_linear_uniform,10⁴,5,SNRE-RES,0.5947,0.0045102835,1.3277023,,16.097535196940104,5.4740958976925125,bfc04ec9-fb36-49dc-b87f-c2c5e1eaf1b7
bernoulli_glm,10⁵,3,SNRE-RES,0.53575,0.003771782,10.695183,,119.43203125,11.758770653075251,99d5af6a-eba5-4fbe-9108-fcdc1fc189a9
two_moons,10⁴,9,NRE-MLP,0.792,0.0258677,0.09684716,,4.095405832926432,inf,1a3af1ed-f3d5-41de-8e9e-0d15728c6a1b
bernoulli_glm_raw,10⁵,2,NRE-MLP,0.81535,0.16665429,4.472136,,131.81632486979166,10.31637259803104,f59d7ab4-15cb-4a26-bc0d-eacfb41e745c
gaussian_linear_uniform,10³,3,NRE-MLP,0.7425,0.062586784,1.7062252,,5.214944458007811,4.857699942125496,deec9b58-7ca5-44d7-8a48-69b370a675d2
slcp_distractors,10⁴,6,NRE-RES,0.9481,0.14162731,347.99445,,4.558778381347656,,4f9e88f3-1c52-42f6-9ed4-36cb1a6a97e0
bernoulli_glm_raw,10³,3,SNRE-MLP,0.73365,0.04093063,3.7416575,,11.730768839518227,11.36075131385585,9aae2c2b-6c9e-44ae-a518-76c3d9b3e50c
gaussian_linear,10⁴,7,SNRE-MLP,0.54645,0.0035395622,1.3728281999999998,,17.060765584309895,9.659772922492554,1d2bbbcb-0e26-4df8-b4a9-bddc426c4985
gaussian_linear,10⁴,9,NRE-MLP,0.5602,0.0053300858,1.4243081,,6.748018900553387,10.103789407257622,94ea20aa-6a79-44ec-a3f2-e9e255f3cdb1
slcp_distractors,10⁴,8,NRE-MLP,0.9304,0.02638936,425.4558,,6.4294072469075525,,6de34e2f-f1cf-4a8f-96c7-45c4655ce224
slcp,10⁵,3,SNRE-RES,0.6479,0.0014976263,26.576508,,190.67594401041663,13.777622796036654,7663ccb4-85fc-4779-a4ef-c0afb2dbf4ed
slcp_distractors,10³,3,NRE-RES,0.97985,0.15423942,386.02765,,2.954638671875,,93c3bdaa-f93d-481d-a6e1-9fde86dfa1ae
bernoulli_glm,10³,7,NRE-MLP,0.9103,0.23213482,20.607742,,5.07613525390625,8.600678054224424,cbc36be7-8760-4808-baa3-8990b6a251df
bernoulli_glm_raw,10³,5,SNRE-MLP,0.9252,0.23474568,5.656854,,13.021621704101562,11.4487032671305,35a48b90-8259-42bc-b027-406f3edb588a
gaussian_linear,10⁴,8,NRE-MLP,0.5608,0.010081887,1.5988545,,6.421567789713541,10.679921212510454,41677571-0194-417d-89cc-d605e1d3afcd
bernoulli_glm,10⁵,4,NRE-RES,0.80245,0.2039001,12.281747,,101.97161458333332,11.29462709428796,17c8992c-7b7f-4c74-9f6f-22831879cae9
slcp,10³,3,SNRE-RES,0.9433,0.22304106,25.163368,,7.177960205078125,37.0863207761045,0e9fdda6-a7d2-4b44-8ccb-4d655b0c5179
slcp_distractors,10³,9,SNRE-RES,0.97575,0.27046776,712.5404,,7.229129536946615,,ab8edf0f-2599-40a8-ad9a-79250db3d3e5
gaussian_linear_uniform,10⁵,1,NRE-RES,0.6039,0.010779381,1.4252098,,109.51951497395834,4.869214192744417,d75dd61d-8786-47bd-8fe1-ca30d3391b54
gaussian_linear_uniform,10³,9,SNRE-MLP,0.66,0.017816544,1.4069283,,13.921244303385414,5.679636799968022,980c06ec-f8f3-4792-9fde-a9f93794c885
