task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
gaussian_linear,10⁵,6,RF-ABC,0.5267,0.0028369427,,,159.29099934895834,9.410827432396632,31e713ec-d339-4e7b-80c5-7c59d0848055
gaussian_mixture,10⁴,6,REJ-ABC,0.73655,0.07396304599999999,1.3633776000000002,,0.016787044207255044,8.737809327505671,6b3342b4-10a4-4933-8ad5-781e97eff7be
two_moons,10³,5,RF-ABC,0.9817,0.030437827,0.5867348000000001,,0.023920226097106933,inf,4b291bc5-c9fd-4d3b-9a7a-8d5464b70458
two_moons,10⁴,5,SMC-ABC,0.79925,0.02237606,0.096043766,,0.040240705013275146,inf,0d71ce91-5f5e-4d14-b68d-53cd6710ec17
bernoulli_glm_raw,10³,10,REJ-ABC,0.9967,0.54896253,6.0827627,,0.024458932876586917,8.554481076321409,ea74bf32-0cea-49a6-b772-5e392085daeb
slcp_distractors,10⁵,4,RF-ABC,0.97465,0.12885141,571.10065,,553.0005859375,,54709a44-e1eb-41aa-8e9e-96b7262d7cff
gaussian_mixture,10⁵,7,SMC-ABC,0.6567,0.0040072203,1.1232057,,0.14653390248616535,8.164537701495405,c2af1273-5049-48f6-858f-537b0e452592
slcp,10⁵,2,RF-ABC,0.9169,0.05562961,22.447407,,71.18396809895833,40.90717117549245,fa6332d9-5d10-4693-af75-25355957dc39
two_moons,10⁵,2,RF-ABC,0.92175,0.015910386999999998,0.6639989000000001,,13.891993204752605,,14f1d8ba-f3a1-4acf-9cd8-28e7a77d22f5
gaussian_linear_uniform,10³,8,SMC-ABC,0.98095,0.3539945,2.3065343,,0.02049745321273804,7.2775590810582225,2cd3ba20-9dfb-42cf-a492-abb7113e41b7
lotka_volterra,10⁴,3,REJ-ABC,0.99885,0.52837664,27.309189,,1.2783387502034504,21.256846314132737,a618ed62-d924-4543-ba16-6afedf0142b2
gaussian_linear_uniform,10⁵,7,RF-ABC,0.52915,0.00244236,,,155.19803059895833,4.734663762594512,90cb204a-656d-4ff4-b7ce-5fb429c95d39
bernoulli_glm_raw,10⁴,1,REJ-ABC,0.9786,0.27251223,4.472136,,0.06083199183146159,10.134906369197946,d09bc038-78d9-4243-8eb9-aeae0eedb7be
gaussian_mixture,10⁵,1,RF-ABC,0.7045,0.022001088,1.0738511,,14.469303385416667,11.749848284619391,fd17b231-20de-407e-bee6-2913ae54a803
bernoulli_glm,10⁵,6,REJ-ABC,0.95165,0.31753117,17.691513,,0.3269685427347819,10.022580130367745,0c70ef2a-2ec1-40ba-8c0a-721dbf22e1f7
bernoulli_glm,10⁴,2,RF-ABC,0.9339,0.22888368,,,3.5968714396158856,12.21792201365425,2e7c99ae-d058-4a13-95e7-67c645b99531
slcp_distractors,10⁴,1,REJ-ABC,0.99005,0.15280855,895.5010000000002,,0.211797825495402,,63d696e7-7932-41ce-907c-8f43811b5331
gaussian_mixture,10⁴,1,REJ-ABC,0.7833,0.23149997,1.4109968000000002,,0.019989299774169918,8.318566139624428,ba28cbae-2a17-4f83-b90c-2155644f2f20
bernoulli_glm,10⁵,3,SMC-ABC,0.8094,0.09339005,13.623922,,0.4484532038370768,10.631142120382961,3bbac59e-94b8-42f7-a9bf-ff8f99203fe5
bernoulli_glm_raw,10⁴,1,SMC-ABC,0.9739,0.35456747,3.8729835,,0.06250199874242147,11.820111296532131,24571f4d-4400-4a47-ae83-c7305b6b61fd
bernoulli_glm_raw,10⁵,5,RF-ABC,0.8863,0.1335693,,,656.5296875,11.045140875832837,9fc392e2-895f-42ec-8d2b-e99f1c22aef6
bernoulli_glm_raw,10⁵,5,REJ-ABC,0.9933,0.49559996,5.656854,,0.3417125701904297,9.20434372799246,f24a38be-08ae-4d62-bd50-774d7d6ceb54
gaussian_linear,10⁴,10,RF-ABC,0.5935,0.013006091,,,4.769629923502603,10.666415893801423,6ef54780-2c91-43ac-aa11-67d175bfd5f1
slcp_distractors,10³,4,SMC-ABC,0.99315,0.41386744,570.21265,,0.05640767415364582,,9564760a-bdd5-4a69-9e0c-3de13f31dbcd
lotka_volterra,10⁴,5,REJ-ABC,0.99995,0.5621854000000001,31.113743,,1.2314019521077475,21.689735862940164,9283ce71-24c2-4e6e-8386-0d7a84341cd2
slcp,10³,10,SMC-ABC,0.9637,0.22420895,4.634134,,0.022961088021596274,34.75884690927988,5475cc68-412b-40af-ad5c-d3ad47ed3bf3
bernoulli_glm,10³,1,REJ-ABC,0.9918,0.46865055,28.320442,,0.028313008944193526,9.998949175417826,9f37dcb0-e6e8-4639-879e-1957a1327061
slcp_distractors,10³,3,SMC-ABC,0.98185,0.07750571,387.07025,,0.05210264523824056,,5fae1648-ca77-415b-8768-cf6f2a43ba1a
bernoulli_glm_raw,10⁴,5,RF-ABC,0.93875,0.21213299,,,27.776826985677086,10.859136391970676,76ac742e-3e91-4532-af7b-6360cb1bb75a
slcp_distractors,10³,2,REJ-ABC,0.99135,0.25748134,382.34186,,0.036246450742085774,,ac8de650-3243-4973-9e3e-a9f342601ca3
gaussian_linear,10⁵,4,RF-ABC,0.56985,0.005680084,,,164.55642903645833,9.86518394671133,623bf535-04c3-40cf-87fb-46cc9a0700c5
gaussian_mixture,10⁵,10,SMC-ABC,0.6679999999999999,0.007262945,0.65528154,,0.16612097422281902,9.339138693771755,828a115e-8f81-4fda-82e6-8fbba283f633
gaussian_linear,10⁵,10,RF-ABC,0.53535,0.0025789738,,,164.041845703125,9.027834078119387,ea28b150-7845-4f35-9ad8-506630d391b4
lotka_volterra,10⁵,6,REJ-ABC,0.9996,0.5568376,53.565964,,9.09236348470052,23.539317882324728,cd5e89cc-6080-4583-88be-1bd2308a25dd
gaussian_mixture,10⁵,9,REJ-ABC,0.7955,0.0012718439,1.0879807,,0.023518836498260497,9.199479606803434,327ac2b7-8cde-42ad-a70a-a6e6fd0b7f05
bernoulli_glm_raw,10³,3,RF-ABC,0.9555,0.22046876,,,0.8841753641764323,11.433783334988178,27318567-4c08-4e39-a144-0f4dba6c6c04
lotka_volterra,10⁵,7,REJ-ABC,0.9998,0.6569239,30.577305,,9.16497090657552,19.830318026751687,5f7e05ad-00a6-4ab8-a176-9ae5bc211a1d
two_moons,10⁴,7,SMC-ABC,0.66495,0.0011786222,0.09139212,,0.034483846028645834,inf,6bfd6a3a-ee3a-4f33-8f80-7a1c7fa6e73c
gaussian_linear_uniform,10⁴,9,SMC-ABC,0.9221,0.1229707,1.2891097,,0.03570570945739746,9.480880659947617,4412b3e5-575f-4ad3-bc34-e77c21d26d9c
bernoulli_glm_raw,10³,9,REJ-ABC,0.9936,0.4161293,5.0,,0.024520774682362877,10.051342311726119,f4b11250-7082-4137-a331-9437bf22a259
two_moons,10⁴,7,RF-ABC,0.90375,0.06750131,0.15729368,,0.4331438700358073,,b1b160fd-6285-41f6-a430-b92c73e40faf
gaussian_mixture,10⁵,8,SMC-ABC,0.6838,0.012941837,1.0410627,,0.16193726857503254,8.671342785528621,26425da3-2965-4fae-8a06-499144d4b15a
lotka_volterra,10⁴,7,REJ-ABC,1.0,0.6079823000000001,42.302887,,1.2807537078857425,19.444411894984672,d5e61db4-9968-4931-9c5a-6656f9cdf819
gaussian_linear,10⁴,4,SMC-ABC,0.9317,0.24342704,1.7493066000000002,,0.028664414087931318,13.998929845364795,3c5f4cdf-6647-47ef-903d-c6235b9f3b13
slcp,10³,7,REJ-ABC,0.9898,0.07653344,27.47265,,0.02048043807347616,40.120928191217885,5a21fcd0-0cc5-4002-933c-5c1735ecbeb4
slcp_distractors,10³,2,RF-ABC,0.97425,0.115410686,380.54306,,0.7988245010375976,,291529f0-067e-4fc8-8df0-75685dbdafcd
slcp_distractors,10⁵,8,REJ-ABC,0.9928,0.24886220000000006,424.5282,,1.8224366505940757,,92b18c19-76de-4ecf-a6a2-020f931f74bd
bernoulli_glm_raw,10⁴,6,RF-ABC,0.92685,0.16972798,,,29.204764811197915,11.276559633309393,01144548-c315-47b9-82ed-841e704ab225
slcp,10⁵,1,RF-ABC,0.94975,0.029066563,19.206814,,71.0539794921875,35.15350052211529,6e370f9a-cc3b-4f23-acd7-78aa6bcf1445
sir,10⁴,1,RF-ABC,0.7877,0.11759031,27.239677,,1.199178949991862,15.752344715962813,937e6502-02ac-4947-9865-ce5e3012b1ac
