task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
bernoulli_glm_raw,10⁴,2,SNLE,0.9915,0.7002329,4.2426405,,47.10945231119792,12.96417030142541,be9320d9-53d5-44c1-9f25-6889222b5a61
sir,10⁴,2,SNLE,0.6725,0.021482825,19.849434,,9.819686889648438,14.399818846991804,83fcec66-c5e7-45d3-9774-7b302e17105f
slcp,10³,6,SNLE,0.90065,0.06798899,10.775804,,14.762990315755207,34.26101178148467,50876a44-7027-4c47-bee8-8da9e99712c1
two_moons,10⁵,8,NLE,0.6694,0.00033771992,0.08949898,,19.412843831380208,inf,5d426ae0-4470-49ba-9a1a-1cf892573820
slcp,10³,7,NLE,0.97755,0.1427871,30.007545,,6.316098022460937,33.16707361695403,3eac6c9b-142c-4469-b36b-736cb500bf51
gaussian_mixture,10³,6,NLE,0.88085,0.22388631,2.0017648,,3.2811609903971357,12.694411066750286,494bc53d-c23d-4fbb-8dfa-3c4f58135d09
bernoulli_glm_raw,10³,6,SNLE,0.9946,0.39451897,5.0,,38.082112630208336,12.857115029964929,2093529b-acf7-4649-b5d7-2f314f8d7d28
gaussian_mixture,10³,2,NLE,0.7615,0.13599926,1.4268403,,2.9437019348144533,8.948103110443476,f836089a-e2d9-446c-9319-87e27e3bd6a6
bernoulli_glm,10⁴,7,SNLE,0.5369,0.00468874,12.99851,,29.714324951171875,11.823145024518757,7a5af7f9-39d0-4fc2-bf93-50f990131085
two_moons,10³,9,NLE,0.73445,0.0019913912,0.09752505,,3.079425303141276,inf,c9a6bef0-cda9-4ce7-9cd3-6f597a1e676c
sir,10⁴,6,NLE,0.68385,0.08006811,25.514702,,13.675384521484375,15.605813633832856,cdb8a3c8-7a70-482d-9cba-945883846a63
bernoulli_glm_raw,10⁴,8,SNLE,0.99105,0.74009854,3.4641016,,47.92764078776042,11.72828322552322,d86ee249-416b-4368-9735-a71c643c40e9
bernoulli_glm_raw,10⁴,7,SNLE,0.9474,0.28924584,4.7958317,,48.9484130859375,12.155491623732054,784f6b55-f576-44c0-9f2c-b7eae6c91791
sir,10⁴,10,SNLE,0.81035,0.22529459,45.127594,,11.366356404622396,15.5047823254945,91dd8d4a-4b50-458f-903d-90fcb5c21b4a
sir,10³,2,NLE,0.79175,0.2237938,29.180471,,4.205772908528647,16.317509711731187,de3dabd7-87a6-49f8-be4d-820f25d4b092
gaussian_linear_uniform,10⁵,9,NLE,0.5003,0.0002721548,1.293093,,25.78768513997396,3.4027634880104958,952fa8a6-e932-413f-ac72-1a150da44f78
slcp,10⁵,4,SNLE,0.5987,0.001625061,3.4932253,,74.57364908854167,18.6444988197238,69bfd320-e43b-4e46-8c5e-69f6564e37fc
bernoulli_glm_raw,>10⁸,4,SL,0.9943,0.5234171,3.0,,554.4839192708333,13.299998637308526,d877c8c8-6959-4e5b-8a13-2175b3222517
gaussian_mixture,10³,5,NLE,0.7912,0.21444637,1.868556,,3.0446103413899737,11.326813935293586,b3b20a0b-d34c-442f-b139-a62d9ad01f4c
gaussian_linear,10⁵,4,SNLE,0.52515,0.0020422935,1.5475106,,83.39514973958333,9.015166496833592,a32177c1-d62c-4424-b4b2-3ee48537cf41
sir,10⁴,5,SNLE,0.6566,0.06546616599999999,23.065125,,11.890399169921874,15.62516765485386,ea4f06dd-d734-4e45-9619-16390ec41168
gaussian_mixture,10⁵,8,NLE,0.89495,0.4691652,7.712762400000001,,14.812956746419273,15.437737836680851,00ef0751-642b-498c-8462-cda2d6d4ed05
bernoulli_glm_raw,10⁵,4,SNLE,0.9873,0.8223560999999999,3.1622777,,162.107470703125,12.654985418068414,e08ab0b9-10dc-4c32-8927-2654d7b67511
gaussian_linear,10⁵,10,SNLE,0.52285,0.00071680546,1.4910434,,82.316748046875,7.608136629720813,acf11129-0bd1-4bb7-9c7a-f64867efc07c
gaussian_linear,>10⁸,5,SL,0.56765,0.0061136484,1.3614252,,9.76402079264323,9.000054924792332,e33f8622-73ba-44ba-958c-6ed3d09128e8
bernoulli_glm_raw,10⁴,5,SNLE,0.9449,0.20463991,5.385164700000002,,48.8431884765625,13.870548781343592,b6632d4a-4d44-4aaa-9dfc-b419e097500e
slcp,10⁴,7,NLE,0.92825,0.039777637000000005,27.863503,,14.547456868489585,17.992324235596474,2f1c324c-9519-4f99-8128-550b4c7591fc
gaussian_linear_uniform,10⁵,5,NLE,0.50665,0.0002604723,1.3073097,,26.630816650390624,3.514125391471356,3c883ebe-2a11-4467-90bc-15c3cf2ddaf2
gaussian_linear,10⁵,8,NLE,0.5226,0.0026701689,1.5451452,,24.60909627278646,9.316196384854985,c20b9538-0d23-421a-84bf-d63668a4cd8a
gaussian_linear_uniform,10⁴,4,NLE,0.53215,0.0013848543,1.3670993,,14.332452392578125,4.366334403114808,907b52bb-ece2-4211-bb6d-1d13653963f3
gaussian_linear,10⁵,4,NLE,0.52845,0.0028173923,1.5700188,,23.278759765625,9.494406213740302,813cf8e0-77cd-461d-a82b-edb7ae3f56b7
two_moons,10⁴,5,NLE,0.71745,0.005120516,0.10243681,,5.8183135986328125,inf,5aac177b-b6a5-431e-ae13-00fb57b2c4c3
gaussian_linear,10³,6,NLE,0.6023,0.013383865,1.3338566,,10.561153157552084,11.002084174414847,74fd0053-13a6-4e92-806e-7ef86d329cac
slcp,10⁵,2,NLE,0.7017,0.02496779,22.253119,,50.39220784505208,12.26694740076652,82aaccab-4609-48d4-b1bb-87855a386eef
gaussian_mixture,10³,5,SNLE,0.7221,0.021136284,1.2418957,,7.446304829915364,8.625069360163769,9a8f2639-a1f5-45d0-9738-a136c03d5bef
gaussian_linear,10⁴,7,SNLE,0.5593,0.0046807528,1.3499558,,27.70309244791667,9.77206690215563,a2f6feac-0cd9-4d4f-b04f-8e9218000ba6
gaussian_linear_uniform,10⁴,2,NLE,0.55705,0.0059421062,1.4400474,,14.19978739420573,4.827158670469377,cdd9677d-5cbe-473b-bb67-73896dcef9c3
gaussian_linear_uniform,10³,6,NLE,0.7185,0.047387958,1.4660542,,10.88878173828125,6.411655298766156,be07f645-027a-4a82-b1b7-f9ebb79ff068
two_moons,10³,4,SNLE,0.65715,0.021352768,0.09383533,,6.421980794270834,,fb07fad1-1d10-4df5-ba7f-807fa9251d39
gaussian_mixture,10⁵,7,SNLE,0.58115,-0.0005372762700000001,1.0175812,,46.10547281901042,9.56294386881123,43c28af3-dbee-4cd6-9f90-e06835be0058
gaussian_linear,>10⁸,8,SL,0.6587,0.025046706,1.6370955,,11.01128438313802,10.256791445863131,2e1b6a2f-d601-417a-ae41-acf4e2a97a69
gaussian_linear,10⁴,5,NLE,0.5342,0.0017588139000000002,1.316968,,12.757286580403646,8.894117251195597,708a3be2-0f2d-4dfa-9ed9-4532ac1f836e
bernoulli_glm_raw,10³,4,NLE,0.8994,0.22933245,3.4641016,,17.88917236328125,12.696266020759433,34434d63-fd8a-4987-98b0-8be0fdbc1e0f
gaussian_mixture,10⁴,6,NLE,0.71525,0.027877986,1.1279986000000002,,6.120660909016928,8.27638643510901,729edf05-017d-4fec-bf0c-5c613ce02b9b
slcp,10⁴,3,NLE,0.7433,0.04876089,26.301077000000006,,15.747152709960938,12.88021950785793,14f6bf89-de1b-411d-aa2c-f8d2da60e11f
gaussian_linear,10⁵,9,NLE,0.506,0.00027430058,1.3856595,,21.75872192382813,7.3813348195292905,3b268fb3-e3da-43e5-a261-cb4827d232a0
bernoulli_glm,>10⁸,5,SL,0.60225,0.013537407,16.503294,,387.94807942708326,12.600925071145413,ca812d2b-1984-4c9f-a067-ad76f79c5d0b
bernoulli_glm_raw,10³,7,NLE,0.7677,0.10814357,4.8989797,,17.77760213216146,10.593363764305703,0a13bb6f-19fa-4762-819d-56385e055f51
gaussian_mixture,10⁵,6,SNLE,0.58085,0.0037362576,1.0728531,,43.58736979166667,9.58471026282816,9e6bb6d5-f0bb-49b5-a1ed-4ab4c8887f6f
gaussian_linear,10³,2,NLE,0.58015,0.0039958954,1.3900179,,10.799680582682292,9.78502462955873,0b9615a5-3afd-4bce-b36f-4702a2d4ddd4
gaussian_mixture,10⁵,4,NLE,0.88505,0.45619732,7.2670727,,17.42957763671875,14.698024089051545,e8403996-92bb-43f9-b09d-a78374c5ef0e
