,task,num_simulations,num_observation,algorithm,seed,C2ST,C2ST_Z,MMD,MMD_Z,MEDDIST,C2ST_1K,C2ST_1K_Z,MMD_1K,MMD_1K_Z,MEDDIST_1K,NLTP,RT,KSD,KSD_1K,num_simulations_simulator,path,folder
0,gaussian_mixture,1000,7,SNLE,2937087782,0.5547,0.6223,0.001973033,0.0019739866,0.957798,0.4945,0.606,0.000957489,0.0009239912,0.8743857,,13.85338134765625,10.509901044820092,8.124752910771955,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-01/06-42-35/18,18
1,gaussian_mixture,100000,8,SNLE,2326790899,0.5255,0.57985,0.001954198,0.0020219088,1.0299833,0.5085,0.5425,0.0011190176,0.0011390448,0.99662006,,46.496785481770836,8.539532148526481,5.518212728201373,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-01/06-42-35/23,23
2,gaussian_mixture,10000,5,SNLE,1922208352,0.67465,0.731,0.037043095,0.037840307,1.0732615,0.615,0.7335,0.028503776,0.02862966,1.0480453,,15.860763549804688,9.034032099096327,6.9724309782103635,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-01/06-42-35/13,13
3,gaussian_mixture,10000,8,SNLE,325106358,0.61015,0.6531,0.01113677,0.011693239,1.072469,0.544,0.6495,0.0062435865,0.006986141,1.0193554,,16.13199259440104,10.72606434992825,8.37236756118598,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-01/06-42-35/22,22
4,gaussian_mixture,1000,3,SNLE,19245665,0.89085,0.89195,0.44954503,0.45072347,6.8878965,0.8905,0.89,0.44773692,0.44985268,6.8842654,,14.075337727864584,14.751999054743735,12.436552420826207,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-01/06-42-35/6,6
5,gaussian_mixture,10000,6,SNLE,141209261,0.60325,0.61855,0.0047068596,0.004862547,1.0718734,0.526,0.6125,0.003899455,0.003754735,1.1226304,,16.67689208984375,11.104679142869454,10.095075212753702,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-01/06-42-35/16,16
6,gaussian_mixture,100000,5,SNLE,727572517,0.52155,0.5807,0.00081181526,0.0008555651,0.9229599,0.5175,0.5795,0.0008620024,0.00084364414,0.93339616,,39.89576416015625,8.537336603775845,7.220648268705599,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-01/06-42-35/14,14
7,gaussian_mixture,10000,2,SNLE,2184587800,0.64265,0.70635,0.017321825,0.01745677,1.0518713,0.533,0.6975,0.019952536,0.020107865,1.0657055,,15.49879862467448,8.589944364963449,7.012736992903644,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-01/06-42-35/4,4
8,gaussian_mixture,100000,7,SNLE,786535836,0.5573,0.6037,0.0062482357,0.0059388876,1.0716448,0.495,0.5985,0.0046629906,0.004519105,1.0118701,,40.766162109375,8.703050656179723,8.134137662491538,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-01/06-42-35/20,20
9,gaussian_mixture,10000,4,SNLE,2020388446,0.64475,0.7176,0.018632531,0.018984556,1.1277461,0.635,0.7045,0.019965887,0.020863056,1.069424,,14.880793253580729,7.566093237437513,4.493306570941351,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-01/06-42-35/10,10
