task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
gaussian_mixture,10³,8,NLE,0.7061,0.0079267025,0.95196277,,2.78564453125,10.470575355310253,5e4a0bff-8209-43c6-bbf8-d3a0b658350e
gaussian_mixture,10⁵,10,NLE,0.6034,0.004962802,0.9418383,,16.82580057779948,9.18770915699507,68cf6060-b5d6-4a2e-9e2e-02228e4019ae
gaussian_mixture,10⁴,3,NPE,0.6697,0.003336668,1.0014113,-0.1461279988288879,3.1174840291341144,12.13461917782922,1bbee691-21df-435f-a47a-2d38cac2d289
gaussian_mixture,10⁵,9,SNPE,0.5255,0.00055778027,1.0453058,,236.602001953125,11.927357714488556,d6a649c1-0e60-44ae-9cdc-00ed607fbd93
gaussian_mixture,10⁴,8,NRE,0.7313,0.067649305,1.3013977,,10.894908650716143,6.846040500660972,7c6e1ba2-dc18-471b-b241-c75f88aab674
gaussian_mixture,10³,6,REJ-ABC,0.8358,0.39219293,2.7822533,,0.0252379337946573,11.527093620953169,9c40596b-11de-4cd1-ba9b-856b871b8657
gaussian_mixture,10⁵,6,NLE,0.72115,0.01476109,1.1159518,,9.602740478515624,9.325186922599707,b9d94511-fe80-4c65-a6b8-1d8a74827d0e
gaussian_mixture,10⁵,4,SNPE,0.5364,0.00031411648,1.0090506,,190.16319986979167,8.200133058788081,0fe47691-f528-4cdc-9f70-74b5ba291f2d
gaussian_mixture,10³,6,NPE,0.68375,0.0119969845,1.151145,3.987513065338135,0.5832406361897786,11.711543509731076,6329017a-23bb-47ba-8ee0-7d75d1fdbddf
gaussian_mixture,10⁴,8,SNRE,0.54005,0.0024590492,0.94885826,,10.762332153320312,11.35204366523216,45d295c4-cdf8-46f8-9077-ff68927c8e5c
gaussian_mixture,10⁵,8,SMC-ABC,0.6847,0.008552194,1.063523,,0.125687829653422,8.21519805401144,9af617af-42d2-456e-9e4e-5da1635d35f5
gaussian_mixture,10⁴,10,SNLE,0.74495,0.052212,1.0071349,,14.339269002278646,7.874054366062967,2c16b8b3-0e88-4805-9951-db114512c19b
gaussian_mixture,10⁴,3,NLE,0.8825,0.4289429,6.1774397,,9.608960978190105,14.752197858363653,6420a2e2-ccc0-4ef9-b534-27f582724282
gaussian_mixture,10³,4,REJ-ABC,0.8437,0.4151171,2.9872093,,0.0255046447118123,11.972100867499964,08aca9c1-5e34-40f9-9740-ef736b8d5e3d
gaussian_mixture,10⁵,8,SNRE,0.53145,0.00019395351,0.9625647,,163.2951171875,10.4539674493009,a5ea1bba-ca56-4397-aab7-5e69c02344e3
gaussian_mixture,10⁵,3,REJ-ABC,0.7789,0.0018119812,0.96867144,,0.0295040210088094,9.623518987680264,c359ee95-b67a-42b9-a5b9-18ee0dd6e772
gaussian_mixture,10⁵,7,SNLE,0.89055,0.4896328,6.97871,,46.707027180989584,14.758322863006605,165f17ab-bb50-436e-a8e0-f284d68fb8b6
gaussian_mixture,10³,4,SMC-ABC,0.74955,0.1823377,1.7108569,,0.0281524419784545,9.44608886615506,ed49ce89-d94c-4a58-b68b-62a515427408
